Wahlkreis;Partei;Kandidat
1;CDU;Heidan, Frank
1;DIE LINKE;Schwarz, Maik
1;SPD;Pfeil-Zabel, Juliane
1;AfD;Schaufel, Dietmar Frank
1;GRÜNE;Liebscher, Gerhard
1;FDP;Gerbeth, Sven
1;FREIE WÄHLER;van Heiden, Daniel
2;CDU;Heinz, Andreas
2;DIE LINKE;Pfau, Janina
2;SPD;Stade, Gertrud
2;AfD;Lupart, Ulrich Willi
2;GRÜNE;Przisambor, Danny
2;FDP;Schwabe, Christof
3;CDU;Voigt, Sören
3;DIE LINKE;Grünler, Kai
3;SPD;Wenzel, Silvia
3;AfD;Hauswald, Lutz
3;GRÜNE;Ihle, Volkmar
3;FDP;Ziron, Jeremy
3;FREIE WÄHLER;Petzold, Jürgen
3;DSU;Hennebach, Claudia
4;CDU;Hösl, Stephan
4;DIE LINKE;Legath, Lars
4;SPD;Kost, Dr. Siegfried
4;AfD;Weller, Rico
4;GRÜNE;Tröger, Manja
4;FDP;Bretschneider, Andreas
4;FREIE WÄHLER;Martin, Cathleen
5;CDU;Nicolaus, Kerstin
5;DIE LINKE;Koutzky, Klaus Thomas
5;SPD;Heinzig, Steffi
5;AfD;Dölitzsch, Daniel
5;GRÜNE;Korn, Manuel
5;FDP;Roßberg, Joachim
5;FREIE WÄHLER;Heinrich, Susan
6;CDU;Löffler, Jan
6;DIE LINKE;Döhler, Heiko
6;SPD;Lasch, Sebastian
6;AfD;Hahn, Christopher
6;GRÜNE;Oehler, André
6;FDP;Köhler, Leon
7;CDU;Otto, Gerald
7;DIE LINKE;Hahn, René
7;SPD;Pecher, Mario
7;AfD;Keil, Wolfram Klaus
7;GRÜNE;Laube, Franziska
7;FDP;Kolev, Dr. Stefan
7;FREIE WÄHLER;Drechsel, Christiane
8;CDU;Springer, Ines
8;DIE LINKE;Schneider, Marlies
8;SPD;Beyer, Felix
8;AfD;Seifert, Thomas
8;GRÜNE;Wetzel, Wolfgang
8;FDP;Tippelt, Nico
8;FREIE WÄHLER;Ulbricht, Matthias
9;CDU;Hippold, Jan
9;DIE LINKE;Weiß, Alexander
9;SPD;Raether-Lordieck, Iris
9;AfD;Frünke, Manfred Stefan
9;GRÜNE;Dörner, Lars
9;FDP;Groß, Florian
10;CDU;Patt, Peter Wilhelm
10;DIE LINKE;Brünler, Nico
10;SPD;Kliese, Hanka
10;AfD;Köhler, Nico
10;GRÜNE;Zschocke, Volkmar
10;FDP;Kollinger-Walter, Felicia
10;FREIE WÄHLER;Heinicke, Michael
10;Die PARTEI;Kalusche, Siegfried Uwe
10;Weil ich es kann;Richter, Daniel
11;CDU;Dierks, Alexander
11;DIE LINKE;Schaper, Susanne
11;SPD;Renz, Jürgen
11;AfD;Dringenberg, Dr. Volker Götz
11;GRÜNE;Kuhfuß, Kathleen
11;FDP;Tauscher, Daniel
11;FREIE WÄHLER;Friese, Jens
11;PRO CHEMNITZ;Wenzel, Winfried Lothar
12;CDU;Saborowski, Ines
12;DIE LINKE;Detzner, Tim
12;SPD;Vieweg, Jörg
12;AfD;Wegert, Harald Steffen
12;GRÜNE;Mäder, Susann
12;FDP;Bui, Dinh Hai
12;FREIE WÄHLER;Eberlein, Jens Matthias
12;PRO CHEMNITZ;Kohlmann, Karl Martin
13;CDU;Anton, Rico
13;DIE LINKE;Schöniger, Susann
13;SPD;Ebert, Susanne
13;AfD;Dietz, Thomas
13;GRÜNE;Reinhold, Heiko
13;FDP;Jakob, Colin
13;FREIE WÄHLER;Gärtner, Udo
14;CDU;Dietrich, Eric
14;DIE LINKE;Gebhardt, Rico
14;SPD;Müller, René
14;AfD;Körner, Manfred
14;GRÜNE;Kaettniß, Uwe Stieven
14;FDP;Schmidt, Volker
14;FREIE WÄHLER;Görk, Otto Detlef
15;CDU;Haude, Falk
15;DIE LINKE;Zimmer, Holger
15;SPD;Lang, Simone
15;AfD;Thumm, Thomas
15;GRÜNE;Kahl, Ulrike
15;FDP;Schmuck, Heiko
15;FREIE WÄHLER;Zimmermann, Jens
16;CDU;Wähner, Ronny
16;DIE LINKE;Feiks, Antje
16;SPD;Wittig, Sören
16;AfD;Prantl, Thomas
16;GRÜNE;Haustein, Nino
16;FDP;Wohlgemuth, Enrico
16;FREIE WÄHLER;Großmann, Beate
17;CDU;Markert, Jörg
17;DIE LINKE;Noack, Kathleen
17;SPD;Ringeis, Richard
17;AfD;Gahler, Torsten
17;GRÜNE;Meister, Kay
17;FDP;Günther, Tino
17;FREIE WÄHLER;Schwan, Marc
18;CDU;Leithoff, Susan
18;DIE LINKE;Christoph, Toni Dietmar
18;SPD;Wyschkon, Sylvio
18;AfD;Penz, Romy
18;GRÜNE;Walter, Sebastian
18;FDP;Helfen, Werner
18;FREIE WÄHLER;Büttner, Klaus
19;CDU;Ittershagen, Steve
19;DIE LINKE;Pinka, Dr. Jana
19;SPD;Geißler, Alexander
19;AfD;Weigand, Dr. Rolf
19;GRÜNE;Scholz, Markus
19;FDP;Karabinski, Benjamin
19;FREIE WÄHLER;Gustmann, Holger
20;CDU;Firmenich, Iris
20;DIE LINKE;Fechner, Eyk
20;SPD;Mende, Oliver
20;AfD;Zielinski, Holger
20;GRÜNE;Sauer, Renate
20;FDP;Hartewig, Philipp
20;FREIE WÄHLER;Walter-Bretschneider, Rico
21;CDU;Dr. Lehle, Rudolf
21;DIE LINKE;Tändler-Walenta, Marika
21;SPD;Homann, Henning
21;AfD;Kuppi, Lars
21;GRÜNE;Anderfuhren, Maria-Christin
21;FDP;Cyrnik, Constanze
21;FREIE WÄHLER;Weißflog, Sven
22;CDU;Schmidt, Thomas
22;DIE LINKE;Sobolewski, Robert
22;SPD;Sarfert, Steve
22;AfD;Wesemann, Christian
22;GRÜNE;Günther, Wolfram
22;FDP;Becker, Miro
22;FREIE WÄHLER;Stein, Dr. Mario
23;CDU;von Breitenbuch, Georg-Ludwig
23;DIE LINKE;Stange, Enrico
23;SPD;Urban, Oliver
23;AfD;May, Frank
23;GRÜNE;Lippold, Dr. Gerd
23;FDP;Görnitz, Stefan
23;FREIE WÄHLER;Noack, Falk
24;CDU;Fritzsche, Oliver
24;DIE LINKE;Jalaß, René
24;SPD;Köpping, Petra
24;AfD;Gärtner, Elke
24;GRÜNE;Penk, Tommy
