;AGS;Wahlberechtigte_EW2019;Wähler_EW2019;gültige_EW2019;CDU_EW2019;DIE LINKE_EW2019;SPD_EW2019;AfD_EW2019;GRÜNE_EW2019;FDP_EW2019;FREIE WÄHLER_EW2019;Wahlberechtigte_BW2017;Wähler_BW2017;gültige_2_BW2017;CDU_2_BW2017;DIE LINKE_2_BW2017;SPD_2_BW2017;AfD_2_BW2017;GRÜNE_2_BW2017;FDP_2_BW2017;FREIE WÄHLER_2_BW2017;WK-Nr_LW2014;WK-Name_LW2014;Wahlberechtigte_LW2014;Wähler_LW2014;gültige_1_LW2014;CDU_1_LW2014;DIE LINKE_1_LW2014;SPD_1_LW2014;FDP_1_LW2014;GRÜNE_1_LW2014;NPD_1_LW2014;PIRATEN_1_LW2014;BüSo_1_LW2014;DSU_1_LW2014;AfD_1_LW2014;FREIE WÄHLER_1_LW2014;Die PARTEI_1_LW2014;Freie Bürger Leipzig_1_LW2014;Konrad Skatula_1_LW2014;Schaar_1_LW2014;WAGNER_1_LW2014;WV MFU_1_LW2014;gültige_2_LW2014;CDU_2_LW2014;DIE LINKE_2_LW2014;SPD_2_LW2014;FDP_2_LW2014;GRÜNE_2_LW2014;NPD_2_LW2014;Tierschutzpartei_2_LW2014;PIRATEN_2_LW2014;BüSo_2_LW2014;DSU_2_LW2014;AfD_2_LW2014;pro Deutschland_2_LW2014;FREIE WÄHLER_2_LW2014;Die PARTEI_2_LW2014
0;14521010;3024;2206;2160;663;197;200;566;142;111;61;3091;2554;2514;820;319;254;657;82;223;31;13;Erzgebirge 1;3174;1794;1748;775;300;222;58;91;50;15;0;0;188;49;0;0;0;0;0;0;1754;829;264;206;74;67;48;11;14;0;2;200;4;32;3
1;14521020;16589;9787;9588;2217;1080;737;2706;583;353;617;16911;11998;11803;3256;1915;1123;3452;330;765;205;16;Erzgebirge 4;17490;8106;7940;2957;2142;758;333;297;607;122;0;0;0;724;0;0;0;0;0;0;8003;3225;1604;799;224;269;502;77;58;8;8;912;31;255;31
2;14521035;17063;10325;10099;2598;1299;777;2674;421;306;612;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;14521040;2095;1392;1346;348;146;102;393;76;65;33;2153;1668;1642;498;226;182;483;25;104;25;13;Erzgebirge 1;2250;1187;1171;483;278;103;31;35;62;14;0;0;139;26;0;0;0;0;0;0;1172;496;238;113;29;23;66;13;13;1;2;164;1;9;4
4;14521060;1916;1384;1347;348;132;129;420;51;51;51;1958;1669;1644;534;220;168;475;33;102;28;16;Erzgebirge 4;2038;1050;1030;494;220;116;28;27;58;24;0;0;0;63;0;0;0;0;0;0;1033;457;190;118;33;20;52;4;12;1;1;124;4;16;1
5;14521080;1882;1284;1262;402;120;73;394;46;50;37;1949;1310;1297;465;154;95;435;18;59;17;14;Erzgebirge 2;2022;1311;1294;740;170;116;18;21;78;11;0;0;119;21;0;0;0;0;0;0;1292;657;189;127;31;24;89;13;6;2;1;139;2;11;1
6;14521090;813;438;421;111;39;31;127;21;20;17;824;542;530;167;64;54;157;12;41;12;17;Erzgebirge 5;843;397;389;206;66;33;19;12;13;0;0;0;33;7;0;0;0;0;0;0;388;184;63;37;19;8;16;5;0;0;0;48;1;6;1
7;14521110;4421;2655;2590;740;245;205;780;80;110;94;4483;3342;3287;1025;425;299;1015;68;236;52;15;Erzgebirge 3;4774;2299;2260;981;362;364;61;99;77;17;0;0;248;51;0;0;0;0;0;0;2266;1067;380;254;67;52;99;13;11;1;1;270;4;44;3
8;14521120;5078;3299;3218;916;322;239;905;194;166;92;5109;3987;3928;1256;526;363;1156;116;296;41;13;Erzgebirge 1;5227;2793;2745;1234;552;237;79;99;153;32;0;0;302;57;0;0;0;0;0;0;2748;1275;461;249;82;86;158;39;26;1;2;329;5;29;6
9;14521130;3341;2384;2281;673;191;151;596;128;104;135;3419;2750;2695;950;358;204;714;70;227;47;16;Erzgebirge 4;3539;1964;1901;935;324;179;82;74;113;34;0;0;0;160;0;0;0;0;0;0;1908;909;271;193;68;57;72;20;18;1;2;219;3;67;8
10;14521140;828;483;467;104;45;40;161;15;49;7;850;500;488;134;39;33;192;8;62;3;17;Erzgebirge 5;884;429;405;158;52;27;45;6;25;3;0;0;83;6;0;0;0;0;0;0;406;149;44;31;57;4;27;1;2;0;0;86;1;3;1
11;14521150;4228;2970;2882;851;234;196;821;166;162;82;4215;3389;3322;1150;382;306;929;61;270;43;17;Erzgebirge 5;4415;2456;2397;1265;354;234;107;78;91;9;0;0;229;30;0;0;0;0;0;0;2402;1221;336;235;100;74;108;22;10;4;0;253;5;30;4
12;14521160;3949;2559;2488;703;254;180;708;107;125;154;3956;3124;3079;938;410;312;896;50;253;46;16;Erzgebirge 4;4114;2177;2125;965;414;249;84;45;200;36;0;0;0;132;0;0;0;0;0;0;2139;959;351;205;78;44;145;28;11;1;1;254;4;53;5
13;14521170;6215;3862;3788;1228;311;326;1043;182;137;131;6317;4591;4500;1579;529;499;1248;94;286;59;14;Erzgebirge 2;6566;2989;2960;1391;332;640;52;76;144;18;0;0;258;49;0;0;0;0;0;0;2955;1412;416;380;82;93;166;27;14;2;4;295;6;47;11
14;14521180;2422;1713;1674;423;152;127;553;115;79;51;2430;1880;1845;533;205;168;646;42;133;32;15;Erzgebirge 3;2525;1373;1344;585;226;138;51;44;87;5;0;0;175;33;0;0;0;0;0;0;1354;568;225;148;48;42;94;15;5;0;4;169;1;32;3
15;14521200;3486;2540;2476;859;250;160;576;115;108;55;3555;2827;2771;952;353;237;709;53;218;36;16;Erzgebirge 4;3670;2046;1990;997;381;178;64;71;202;29;0;0;0;68;0;0;0;0;0;0;2001;942;322;186;61;49;161;21;14;2;2;208;8;22;3
16;14521210;2933;1940;1870;496;272;111;545;64;86;90;2994;2437;2400;760;368;197;687;48;195;39;16;Erzgebirge 4;3120;1727;1684;756;429;119;71;43;142;18;0;0;0;106;0;0;0;0;0;0;1700;728;372;117;68;35;107;18;7;3;1;197;3;41;3
17;14521220;3158;2207;2154;655;212;141;571;134;124;71;3201;2548;2499;816;333;210;679;86;229;34;17;Erzgebirge 5;3171;1823;1798;836;282;231;64;115;72;18;0;0;136;44;0;0;0;0;0;0;1800;848;271;195;74;70;74;13;16;3;20;174;2;31;9
18;14521230;1624;1070;1035;299;123;91;269;57;52;29;1646;1276;1255;364;203;138;344;38;105;18;13;Erzgebirge 1;1717;871;858;373;209;82;28;20;45;6;0;0;77;18;0;0;0;0;0;0;861;372;185;91;27;21;46;10;4;0;1;89;1;10;4
19;14521240;2348;1715;1667;530;142;161;405;127;81;34;2382;1933;1893;695;246;212;442;46;151;23;17;Erzgebirge 5;2456;1483;1454;747;237;141;77;67;51;6;0;0;106;22;0;0;0;0;0;0;1457;728;220;173;52;39;62;16;21;2;2;123;1;15;3
