;WK-Nr;WK-Name;AGS;Wahlberechtigte;Wähler;gültige_1;CDU_1;DIE LINKE_1;SPD_1;FDP_1;GRÜNE_1;NPD_1;PIRATEN_1;BüSo_1;DSU_1;AfD_1;FREIE WÄHLER_1;Die PARTEI_1;Freie Bürger Leipzig_1;Konrad Skatula_1;Schaar_1;WAGNER_1;WV MFU_1;gültige_2;CDU_2;DIE LINKE_2;SPD_2;FDP_2;GRÜNE_2;NPD_2;Tierschutzpartei_2;PIRATEN_2;BüSo_2;DSU_2;AfD_2;pro Deutschland_2;FREIE WÄHLER_2;Die PARTEI_2
0;1;Vogtland 1;14523320;53832;25049;24563;8140;5137;3866;1086;1770;1007;265.0;;;2832.0;460.0;;;;;;;24637;8943;4999;3723;865;1195;1161;253;186;23;49;2784;25;262;169
1;2;Vogtland 2;14523010;4441;1781;1753;641;267;269;41;31;97;7.0;;;133.0;267.0;;;;;;;1757;734;275;273;34;33;119;17;12;1;3;181;3;68;4
2;2;Vogtland 2;14523030;1697;610;597;278;102;80;10;10;25;2.0;;;69.0;21.0;;;;;;;603;277;107;73;8;14;26;3;0;1;6;76;0;10;2
3;2;Vogtland 2;14523040;3142;1842;1808;684;352;298;68;48;51;12.0;;;170.0;125.0;;;;;;;1811;708;354;264;52;57;50;22;7;2;1;219;6;62;7
4;2;Vogtland 2;14523050;874;369;363;156;60;55;10;5;16;4.0;;;49.0;8.0;;;;;;;364;158;51;60;12;2;21;7;4;0;2;40;0;6;1
5;2;Vogtland 2;14523060;1013;395;392;143;76;72;10;15;28;6.0;;;36.0;6.0;;;;;;;391;156;71;49;11;16;25;7;4;2;3;43;0;3;1
6;2;Vogtland 2;14523080;1057;425;414;154;86;62;6;15;37;2.0;;;36.0;16.0;;;;;;;414;164;85;52;8;12;38;7;0;1;1;33;0;11;2
7;2;Vogtland 2;14523200;6782;2994;2946;1273;422;394;117;97;119;30.0;;;408.0;86.0;;;;;;;2959;1268;419;353;137;104;121;31;15;4;11;432;4;51;9
8;2;Vogtland 2;14523230;1153;488;477;210;58;49;16;8;33;5.0;;;85.0;13.0;;;;;;;479;221;58;35;15;9;35;3;4;0;1;86;1;8;3
9;2;Vogtland 2;14523300;9193;3950;3887;1418;846;681;137;109;184;40.0;;;414.0;58.0;;;;;;;3899;1448;810;558;147;111;218;48;32;2;30;446;3;30;16
10;2;Vogtland 2;14523310;4504;2598;2554;1159;388;345;109;101;100;13.0;;;251.0;88.0;;;;;;;2565;1164;395;315;102;91;129;18;12;0;8;239;2;80;10
11;2;Vogtland 2;14523350;826;366;363;175;40;45;26;17;13;4.0;;;38.0;5.0;;;;;;;364;180;44;41;18;14;13;1;2;1;6;41;0;2;1
12;2;Vogtland 2;14523365;3658;1516;1480;526;277;182;53;59;92;9.0;;;258.0;24.0;;;;;;;1486;571;247;188;63;60;108;9;8;1;3;199;1;24;4
13;2;Vogtland 2;14523370;2822;1610;1578;695;269;202;46;50;76;6.0;;;180.0;54.0;;;;;;;1584;686;268;174;50;51;84;21;9;0;6;183;1;46;5
14;2;Vogtland 2;14523410;885;614;591;214;98;88;47;20;37;8.0;;;72.0;7.0;;;;;;;596;241;86;66;37;14;45;13;3;1;2;81;0;3;4
15;2;Vogtland 2;14523420;1211;479;473;184;97;71;26;13;16;4.0;;;53.0;9.0;;;;;;;475;199;91;69;20;14;14;3;2;0;2;52;0;8;1
16;2;Vogtland 2;14523440;1103;386;379;133;70;98;6;11;14;5.0;;;28.0;14.0;;;;;;;379;142;75;65;10;7;18;4;5;0;1;34;2;15;1
17;2;Vogtland 2;14523450;4285;2289;2254;930;408;312;149;83;79;19.0;;;211.0;63.0;;;;;;;2257;977;397;295;90;97;86;24;10;3;10;209;2;49;8
18;2;Vogtland 2;14523460;1292;551;548;242;86;81;20;17;19;2.0;;;68.0;13.0;;;;;;;547;257;72;73;17;16;24;2;2;0;1;68;3;11;1
19;3;Vogtland 3;14523020;16349;7121;6989;3092;1397;973;178;290;296;56.0;;;707.0;;;;;;;;7025;3165;1332;889;205;223;301;75;42;6;8;700;11;47;21
20;3;Vogtland 3;14523090;2307;882;864;410;130;101;37;48;30;4.0;;;104.0;;;;;;;;870;424;136;97;27;32;32;8;3;0;4;96;4;5;2
21;3;Vogtland 3;14523120;7170;3313;3252;1621;596;353;120;108;121;26.0;;;307.0;;;;;;;;3282;1505;599;412;139;83;127;28;24;0;7;334;4;10;10
22;3;Vogtland 3;14523130;1535;658;649;345;110;72;24;18;21;3.0;;;56.0;;;;;;;;649;362;94;60;15;17;18;10;3;0;2;59;0;7;2
23;3;Vogtland 3;14523160;7840;3296;3234;1374;655;542;72;88;132;34.0;;;337.0;;;;;;;;3258;1431;665;390;96;73;140;25;21;0;5;367;9;27;9
24;3;Vogtland 3;14523245;2794;1215;1187;575;220;156;36;32;57;9.0;;;102.0;;;;;;;;1199;574;211;152;47;21;60;10;6;0;2;97;1;16;2
25;3;Vogtland 3;14523270;1880;857;839;376;129;92;14;25;90;9.0;;;104.0;;;;;;;;843;369;122;94;19;25;74;10;3;1;7;108;2;5;4
26;3;Vogtland 3;14523290;858;350;342;179;71;36;11;7;6;3.0;;;29.0;;;;;;;;343;164;62;48;14;4;6;6;2;0;0;31;1;3;2
27;3;Vogtland 3;14523430;6886;3268;3229;1362;617;425;94;125;171;31.0;;;404.0;;;;;;;;3239;1325;588;430;99;102;161;31;25;4;46;372;4;38;14
28;4;Vogtland 4;14523100;3695;2147;2102;567;334;248;169;76;60;25.0;;;148.0;475.0;;;;;;;2107;841;383;304;99;80;78;32;22;1;6;163;3;83;12
29;4;Vogtland 4;14523150;1753;774;756;344;142;96;25;27;22;10.0;;;67.0;23.0;;;;;;;767;371;123;86;34;29;20;9;2;0;2;79;2;5;5
30;4;Vogtland 4;14523170;6258;2826;2776;1143;594;337;93;99;95;30.0;;;324.0;61.0;;;;;;;2788;1215;554;371;86;85;105;18;20;1;4;280;3;32;14
31;4;Vogtland 4;14523190;1253;545;525;225;90;73;33;15;21;4.0;;;47.0;17.0;;;;;;;531;256;77;65;25;15;26;4;4;0;1;42;1;10;5
32;4;Vogtland 4;14523250;2195;840;825;262;220;115;39;23;33;12.0;;;104.0;17.0;;;;;;;828;286;202;107;31;24;41;13;3;0;0;109;2;6;4
33;4;Vogtland 4;14523260;3493;1952;1918;693;477;261;105;70;58;14.0;;;157.0;83.0;;;;;;;1924;756;421;278;99;63;69;22;8;1;7;169;4;21;6
34;4;Vogtland 4;14523280;2489;1060;1033;407;238;118;60;42;36;16.0;;;97.0;19.0;;;;;;;1041;443;183;145;49;37;41;5;14;2;1;103;1;10;7
35;4;Vogtland 4;14523330;2197;961;945;384;159;144;28;53;30;7.0;;;93.0;47.0;;;;;;;949;404;145;146;31;51;31;3;6;1;0;106;1;21;3
36;4;Vogtland 4;14523340;16310;7182;7043;2244;2144;867;329;294;231;102.0;;;652.0;180.0;;;;;;;7083;2642;1799;946;251;247;266;73;63;5;10;676;8;68;29
37;4;Vogtland 4;14523360;5649;2592;2542;1046;518;375;95;83;88;22.0;;;274.0;41.0;;;;;;;2560;1132;482;359;78;57;93;29;9;2;12;280;6;14;7
38;4;Vogtland 4;14523380;2441;976;953;512;127;92;37;31;35;9.0;;;97.0;13.0;;;;;;;957;525;118;87;41;20;40;4;5;1;3;98;3;10;2
