Alle Wahllokale mit Wahlgebäuden (Landtagswahl 2019),,,,,,
Gebiet,Wahlbezirk,Wahlkreis,Einrichtung,"PLZ, Ort",Straße,Barrierefreiheit
Altstadt ,1100,45,Ostsächsische Sparkasse,"01067, Dresden",Dr.‐Külz‐Ring 17,Barrierefrei
Altstadt ,2100,45,BSZ für Bau und Technik,"01069, Dresden",Güntzstr. 3,Barrierefrei
Altstadt ,2200,45,BSZ für Bau und Technik,"01069, Dresden",Güntzstr. 3,Barrierefrei
Altstadt ,2400,45,BSZ für Bau und Technik,"01069, Dresden",Güntzstr. 3,Barrierefrei
Altstadt ,3100,45,"ASB‐Seniorenzentrum ""Prager Zeile""","01069, Dresden",St.Petersburger Str. 32,Barrierefrei
Altstadt ,3200,45,ALLOHEIM Seniorenzentrum,"01069, Dresden",Mary‐Wigman‐Str. 1 a,Barrierefrei
,,,"""Bürgerwiese""",,,
Altstadt ,3300,45,ALLOHEIM Seniorenzentrum,"01069, Dresden",Mary‐Wigman‐Str. 1 a,Barrierefrei
,,,"""Bürgerwiese""",,,
Altstadt ,3401,45,Fakultät der TU Dresden,"01219, Dresden",Wiener Str. 48,Barrierefrei
Altstadt ,3402,45,Fakultät der TU Dresden,"01219, Dresden",Wiener Str. 48,Barrierefrei
Altstadt ,4100,47,BSZ für Gastgewerbe,"01067, Dresden",Ehrlichstr. 1,Barrierefrei
Altstadt ,4200,47,BSZ für Gastgewerbe,"01067, Dresden",Ehrlichstr. 1,Barrierefrei
Altstadt ,4300,47,Betriebskantine DREWAG (WTC),"01067,",Rosenstr. 32,Barrierefrei
Altstadt ,4400,47,Ostsächsische Sparkasse,"01067, Dresden",Dr.‐Külz‐Ring 17,Barrierefrei
Altstadt ,4500,47,Betriebskantine DREWAG (WTC),"01067,",Rosenstr. 32,Barrierefrei
Altstadt ,4600,47,"16. Grundschule ""Josephine""","01069, Dresden",Josephinenstr. 6,Barrierefrei
Altstadt ,5101,47,153. Grundschule,"01059, Dresden",Fröbelstraße 1‐3,Barrierefrei
Altstadt ,5102,47,153. Grundschule,"01059, Dresden",Fröbelstraße 1‐3,Barrierefrei
Altstadt ,5200,47,153. Grundschule,"01059, Dresden",Fröbelstraße 1‐3,Barrierefrei
Altstadt ,5301,47,153. Grundschule,"01059, Dresden",Fröbelstraße 1‐3,Barrierefrei
Altstadt ,5302,47,153. Grundschule,"01059, Dresden",Fröbelstraße 1‐3,Barrierefrei
Altstadt ,6100,45,Ostsächsische Sparkasse.,"01307, Dresden",Güntzplatz 5,Barrierefrei
Altstadt ,6200,45,Ostsächsische Sparkasse.,"01307, Dresden",Güntzplatz 5,Barrierefrei
Gebiet,Wahlbezirk,Wahlkreis,Einrichtung,"PLZ, Ort",Straße,Barrierefreiheit
Altstadt ,6300,45,"101. Oberschule ""Johannes Gutenberg""","01307, Dresden",Pfotenhauerstr. 42,Barrierefrei
Altstadt ,6400,45,"101. Oberschule ""Johannes Gutenberg""","01307, Dresden",Pfotenhauerstr. 42,Barrierefrei
Altstadt ,6500,45,"101. Oberschule ""Johannes Gutenberg""","01307, Dresden",Pfotenhauerstr. 42,Barrierefrei
Altstadt ,6600,45,"101. Oberschule ""Johannes Gutenberg""","01307, Dresden",Pfotenhauerstr. 42,Barrierefrei
Altstadt ,6700,45,"101. Oberschule ""Johannes Gutenberg""","01307, Dresden",Pfotenhauerstr. 42,Barrierefrei
Altstadt ,6800,45,"Herzzentrum DD GmbH Universitätsklinik 01307, Dresden",,Fetscherstr. 76,Barrierefrei
Altstadt ,7100,45,113. Grundschule,"01307, Dresden",Georg‐Nerlich‐Straße 1,Barrierefrei
Altstadt ,7200,45,113. Grundschule,"01307, Dresden",Georg‐Nerlich‐Straße 1,Barrierefrei
Altstadt ,7300,45,113. Grundschule,"01307, Dresden",Georg‐Nerlich‐Straße 1,Barrierefrei
Altstadt ,7400,45,113. Grundschule,"01307, Dresden",Georg‐Nerlich‐Straße 1,Barrierefrei
Altstadt ,7500,45,113. Grundschule,"01307, Dresden",Georg‐Nerlich‐Straße 1,Barrierefrei
Altstadt ,7600,45,"BSZ für Technik ""Gustav Anton Zeuner""","01307, Dresden",Gerokstr. 22,Barrierefrei
Altstadt ,7700,45,"BSZ für Technik ""Gustav Anton Zeuner""","01307, Dresden",Gerokstr. 22,Barrierefrei
Altstadt ,7800,45,Bertolt‐Brecht‐Gymnasium,"01307, Dresden",Lortzingstr. 1,Barrierefrei
