;A
0;"1;1;CDU;Christlich;Demokratische;Union;Deutschlands;Heidan,;Frank"
1;"1;2;DIE;LINKE;DIE;LINKE;Schwarz,;Maik"
2;"1;3;SPD;Sozialdemokratische;Partei;Deutschlands;Pfeil-Zabel,;Juliane"
3;"1;4;AfD;Alternative;für;Deutschland;Schaufel,;Dietmar;Frank"
4;"1;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Liebscher,;Gerhard"
5;"1;7;FDP;Freie;Demokratische;Partei;Gerbeth,;Sven"
6;"1;8;FREIE;WÄHLER;FREIE;WÄHLER;van;Heiden,;Daniel"
7;"2;1;CDU;Christlich;Demokratische;Union;Deutschlands;Heinz,;Andreas"
8;"2;2;DIE;LINKE;DIE;LINKE;Pfau,;Janina"
9;"2;3;SPD;Sozialdemokratische;Partei;Deutschlands;Stade,;Gertrud"
10;"2;4;AfD;Alternative;für;Deutschland;Lupart,;Ulrich;Willi"
11;"2;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Przisambor,;Danny"
12;"2;7;FDP;Freie;Demokratische;Partei;Schwabe,;Christof"
13;"3;1;CDU;Christlich;Demokratische;Union;Deutschlands;Voigt,;Sören"
14;"3;2;DIE;LINKE;DIE;LINKE;Grünler,;Kai"
15;"3;3;SPD;Sozialdemokratische;Partei;Deutschlands;Wenzel,;Silvia"
16;"3;4;AfD;Alternative;für;Deutschland;Hauswald,;Lutz"
17;"3;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Ihle,;Volkmar"
18;"3;7;FDP;Freie;Demokratische;Partei;Ziron,;Jeremy"
19;"3;8;FREIE;WÄHLER;FREIE;WÄHLER;Petzold,;Jürgen"
20;"3;20;DSU;Deutsche;Soziale;Union;Hennebach,;Claudia"
21;"4;1;CDU;Christlich;Demokratische;Union;Deutschlands;Hösl,;Stephan"
22;"4;2;DIE;LINKE;DIE;LINKE;Legath,;Lars"
23;"4;3;SPD;Sozialdemokratische;Partei;Deutschlands;Kost,;Dr.;Siegfried"
24;"4;4;AfD;Alternative;für;Deutschland;Weller,;Rico"
25;"4;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Tröger,;Manja"
26;"4;7;FDP;Freie;Demokratische;Partei;Bretschneider,;Andreas"
27;"4;8;FREIE;WÄHLER;FREIE;WÄHLER;Martin,;Cathleen"
28;"5;1;CDU;Christlich;Demokratische;Union;Deutschlands;Nicolaus,;Kerstin"
29;"5;2;DIE;LINKE;DIE;LINKE;Koutzky,;Klaus;Thomas"
30;"5;3;SPD;Sozialdemokratische;Partei;Deutschlands;Heinzig,;Steffi"
31;"5;4;AfD;Alternative;für;Deutschland;Dölitzsch,;Daniel"
32;"5;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Korn,;Manuel"
33;"5;7;FDP;Freie;Demokratische;Partei;Roßberg,;Joachim"
34;"5;8;FREIE;WÄHLER;FREIE;WÄHLER;Heinrich,;Susan"
35;"6;1;CDU;Christlich;Demokratische;Union;Deutschlands;Löffler,;Jan"
36;"6;2;DIE;LINKE;DIE;LINKE;Döhler,;Heiko"
37;"6;3;SPD;Sozialdemokratische;Partei;Deutschlands;Lasch,;Sebastian"
38;"6;4;AfD;Alternative;für;Deutschland;Hahn,;Christopher"
39;"6;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Oehler,;André"
40;"6;7;FDP;Freie;Demokratische;Partei;Köhler,;Leon"
41;"7;1;CDU;Christlich;Demokratische;Union;Deutschlands;Otto,;Gerald"
42;"7;2;DIE;LINKE;DIE;LINKE;Hahn,;René"
43;"7;3;SPD;Sozialdemokratische;Partei;Deutschlands;Pecher,;Mario"
44;"7;4;AfD;Alternative;für;Deutschland;Keil,;Wolfram;Klaus"
45;"7;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Laube,;Franziska"
46;"7;7;FDP;Freie;Demokratische;Partei;Kolev,;Dr.;Stefan"
47;"7;8;FREIE;WÄHLER;FREIE;WÄHLER;Drechsel,;Christiane"
48;"8;1;CDU;Christlich;Demokratische;Union;Deutschlands;Springer,;Ines"
49;"8;2;DIE;LINKE;DIE;LINKE;Schneider,;Marlies"
50;"8;3;SPD;Sozialdemokratische;Partei;Deutschlands;Beyer,;Felix"
51;"8;4;AfD;Alternative;für;Deutschland;Seifert,;Thomas"
52;"8;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Wetzel,;Wolfgang"
53;"8;7;FDP;Freie;Demokratische;Partei;Tippelt,;Nico"
54;"8;8;FREIE;WÄHLER;FREIE;WÄHLER;Ulbricht,;Matthias"
55;"9;1;CDU;Christlich;Demokratische;Union;Deutschlands;Hippold,;Jan"
56;"9;2;DIE;LINKE;DIE;LINKE;Weiß,;Alexander"
57;"9;3;SPD;Sozialdemokratische;Partei;Deutschlands;Raether-Lordieck,;Iris"
58;"9;4;AfD;Alternative;für;Deutschland;Frünke,;Manfred;Stefan"
59;"9;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Dörner,;Lars"
60;"9;7;FDP;Freie;Demokratische;Partei;Groß,;Florian"
61;"10;1;CDU;Christlich;Demokratische;Union;Deutschlands;Patt,;Peter;Wilhelm"
62;"10;2;DIE;LINKE;DIE;LINKE;Brünler,;Nico"
63;"10;3;SPD;Sozialdemokratische;Partei;Deutschlands;Kliese,;Hanka"
64;"10;4;AfD;Alternative;für;Deutschland;Köhler,;Nico"
65;"10;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Zschocke,;Volkmar"
66;"10;7;FDP;Freie;Demokratische;Partei;Kollinger-Walter,;Felicia"
67;"10;8;FREIE;WÄHLER;FREIE;WÄHLER;Heinicke,;Michael"
68;"10;11;Die;PARTEI;Partei;für;Arbeit,;Kalusche,;Siegfried;Uwe"
69;"10;25;-;Weil;ich;es;kann;Richter,;Daniel"
70;"11;1;CDU;Christlich;Demokratische;Union;Deutschlands;Dierks,;Alexander"
71;"11;2;DIE;LINKE;DIE;LINKE;Schaper,;Susanne"
72;"11;3;SPD;Sozialdemokratische;Partei;Deutschlands;Renz,;Jürgen"
73;"11;4;AfD;Alternative;für;Deutschland;Dringenberg,;Dr.;Volker;Götz"
74;"11;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Kuhfuß,;Kathleen"
75;"11;7;FDP;Freie;Demokratische;Partei;Tauscher,;Daniel"
76;"11;8;FREIE;WÄHLER;FREIE;WÄHLER;Friese,;Jens"
77;"11;22;PRO;CHEMNITZ;PRO;CHEMNITZ;Wenzel,;Winfried;Lothar"
78;"12;1;CDU;Christlich;Demokratische;Union;Deutschlands;Saborowski,;Ines"
79;"12;2;DIE;LINKE;DIE;LINKE;Detzner,;Tim"
80;"12;3;SPD;Sozialdemokratische;Partei;Deutschlands;Vieweg,;Jörg"
81;"12;4;AfD;Alternative;für;Deutschland;Wegert,;Harald;Steffen"
82;"12;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Mäder,;Susann"
83;"12;7;FDP;Freie;Demokratische;Partei;Bui,;Dinh;Hai"
84;"12;8;FREIE;WÄHLER;FREIE;WÄHLER;Eberlein,;Jens;Matthias"
85;"12;22;PRO;CHEMNITZ;PRO;CHEMNITZ;Kohlmann,;Karl;Martin"
86;"13;1;CDU;Christlich;Demokratische;Union;Deutschlands;Anton,;Rico"
87;"13;2;DIE;LINKE;DIE;LINKE;Schöniger,;Susann"
