AGS,Ort,2017_AfD_%,2017_CDU_%,2017_LINKE_%,2017_SPD_%,2017_FDP_%,2017_GRÜNE_%,2017_andere_%
14730010,Arzberg,31.2,28.4,14.5,10.4,7.9,1.1,6.5
14730020,"Bad Düben, Stadt",22.9,30.4,15.8,13.8,8.6,3.1,5.4
14730030,Beilrode,28.4,30.7,13.8,11.9,8.0,1.7,5.7
14730045,"Belgern-Schildau, Stadt",31.8,28.6,12.6,11.9,6.7,2.1,6.3
14730050,Cavertitz,32.4,31.0,13.0,8.4,7.3,1.9,6.1
14730060,"Dahlen, Stadt",26.0,31.3,15.4,10.4,7.9,3.3,5.6
14730070,"Delitzsch, Stadt",22.8,30.9,15.9,14.5,7.1,2.4,6.3
14730080,Doberschütz,30.5,27.7,13.6,10.9,9.9,2.2,5.2
14730090,"Dommitzsch, Stadt",26.7,28.9,14.8,13.8,7.8,1.9,6.1
14730100,Dreiheide,28.2,27.4,12.0,12.7,11.1,1.7,6.8
14730110,"Eilenburg, Stadt",26.9,26.9,16.6,13.5,7.3,2.4,6.5
14730120,Elsnig,29.7,25.3,13.3,14.0,11.2,1.5,5.1
14730140,Jesewitz,26.5,29.1,14.6,12.2,9.1,3.1,5.4
14730150,Krostitz,25.5,35.0,12.4,9.1,9.7,2.5,5.8
14730160,Laußig,31.3,31.6,12.9,10.5,7.0,1.4,5.3
14730170,Liebschützberg,28.9,33.8,11.4,8.5,8.4,1.2,7.8
14730180,Löbnitz,26.0,36.2,11.5,12.7,6.5,1.7,5.4
14730190,Mockrehna,33.5,30.6,10.5,11.0,7.6,1.9,4.9
14730200,"Mügeln, Stadt",27.6,29.5,14.5,12.1,7.2,2.7,6.5
14730210,Naundorf,27.9,31.0,13.7,10.9,7.3,2.4,7.0
14730230,"Oschatz, Stadt",29.3,26.2,18.2,11.0,6.4,2.6,6.2
14730250,Rackwitz,26.8,30.3,12.8,13.1,7.2,3.6,6.2
14730270,"Schkeuditz, Stadt",26.6,29.2,14.6,12.5,8.5,2.6,6.0
14730280,Schönwölkau,27.2,30.2,12.9,12.8,8.0,2.4,6.6
14730300,"Taucha, Stadt",24.4,28.9,13.8,12.6,10.4,4.2,5.8
14730310,"Torgau, Stadt",25.9,28.1,16.3,13.7,7.4,2.5,6.1
14730320,Trossin,25.4,29.1,15.3,13.4,8.4,3.5,4.9
14730330,Wermsdorf,31.3,27.0,14.9,11.5,6.3,2.9,6.1
14730340,Wiedemar,25.7,32.8,13.3,12.9,7.5,1.9,5.8
14730360,Zschepplin,28.1,31.3,12.5,11.6,7.8,3.5,5.2
14729010,"Bad Lausick, Stadt",27.6,32.5,13.6,10.6,7.9,2.6,5.2
14729020,Belgershain,27.7,28.1,14.1,10.5,9.6,2.7,7.3
14729030,Bennewitz,26.5,29.2,16.3,11.1,7.8,3.6,5.6
14729040,"Böhlen, Stadt",25.0,28.5,18.9,11.8,7.5,2.5,5.8
14729050,"Borna, Stadt",29.7,28.8,16.2,12.5,5.8,1.9,5.2
14729060,Borsdorf,24.8,31.4,14.3,10.9,8.9,4.0,5.6
14729070,"Brandis, Stadt",28.3,28.3,14.5,10.8,8.5,3.9,5.8
