KreisId,Name_Partei,Anteil
152,Christoph Neumann (AfD),13.7
152,Jens Lehmann (CDU),16.6
152,Nina Treu (Die Linke),11.8
152,Holger Mann (SPD),11.8
152,René Hobusch (FDP),17.6
152,Marie Müser (Grüne),21.5
152,Katharina Christina Subat (Die PARTEI),0.5
152,Thomas Weidinger (Freie Wähler),4.7
152,Rahel Wehemeyer-Blum (ÖDP),1.6
152,Gudrun Kimmerle (MLPD),1.4
152,Kerry Charles Cherki (dieBasis),0.5
152,Kristina Weidner (Die Humanisten),1.6
152,Ronald Härtlein (Ein Leipziger für Leipzig),1.5
152,Karl-Heinz Hummitzsch (KARLKOMMT),1.4
152,Ralf Detlef Kohl (Wir sind Leipziger),1.1
152,Martin Bayer (www.zeitkaufhaus.de Martin Bayer),1.1
