wb,Wahlkreis,Wahlberechtige,Wähler,Wahlbeteiligung,1_Stimmen AfD,1_Stimmen CDU,1_Stimmen FDP,1_Stimmen GRÜNE,1_Stimmen LINKE,1_Stimmen SPD,1_Stimmen Ungültige Stimmen,1_Stimmen andere Parteien,1_Stimmen gültige Stimmen,1_Anteil AfD,1_Anteil CDU,1_Anteil FDP,1_Anteil GRÜNE,1_Anteil LINKE,1_Anteil SPD,1_Anteil Ungültige Stimmen,1_Anteil andere Parteien,1_Anteil gültige Stimmen,2_Stimmen AfD,2_Stimmen CDU,2_Stimmen FDP,2_Stimmen GRÜNE,2_Stimmen LINKE,2_Stimmen SPD,2_Stimmen Ungültige Stimmen,2_Stimmen andere Parteien,2_Stimmen gültige Stimmen,2_Anteil AfD,2_Anteil CDU,2_Anteil FDP,2_Anteil GRÜNE,2_Anteil LINKE,2_Anteil SPD,2_Anteil Ungültige Stimmen,2_Anteil andere Parteien,2_Anteil gültige Stimmen,2_Gewinner
01100,45.0,1333,506,38.0,85,139,32,93,110,26,5,16,501,17.0,27.7,6.4,18.6,22.0,5.2,1.0,3.2,99.0,85,140,37,83,83,35,2,41,504,16.9,27.8,7.3,16.5,16.5,6.9,0.4,8.1,99.6,CDU
02100,45.0,1332,498,37.4,79,87,21,100,145,31,6,29,492,16.1,17.7,4.3,20.3,29.5,6.3,1.2,5.9,98.8,74,87,24,96,113,43,7,54,491,15.1,17.7,4.9,19.6,23.0,8.8,1.4,11.0,98.6,LINKE
02200,45.0,1700,658,38.7,141,161,29,100,152,33,12,30,646,21.8,24.9,4.5,15.5,23.5,5.1,1.8,4.6,98.2,137,165,26,91,114,53,8,64,650,21.1,25.4,4.0,14.0,17.5,8.2,1.2,9.8,98.8,CDU
02400,45.0,1390,489,35.2,138,134,33,52,78,38,4,12,485,28.5,27.6,6.8,10.7,16.1,7.8,0.8,2.5,99.2,129,140,29,38,61,47,4,41,485,26.6,28.9,6.0,7.8,12.6,9.7,0.8,8.5,99.2,CDU
03100,45.0,1219,501,41.1,111,121,27,84,85,34,9,30,492,22.6,24.6,5.5,17.1,17.3,6.9,1.8,6.1,98.2,105,112,30,72,70,48,5,59,496,21.2,22.6,6.0,14.5,14.1,9.7,1.0,11.9,99.0,CDU
03200,45.0,1203,487,40.5,114,128,20,51,117,27,7,23,480,23.8,26.7,4.2,10.6,24.4,5.6,1.4,4.8,98.6,111,116,18,59,87,46,7,43,480,23.1,24.2,3.8,12.3,18.1,9.6,1.4,9.0,98.6,CDU
03300,45.0,1272,567,44.6,115,171,33,84,103,29,16,16,551,20.9,31.0,6.0,15.2,18.7,5.3,2.8,2.9,97.2,106,186,30,66,82,49,7,41,560,18.9,33.2,5.4,11.8,14.6,8.8,1.2,7.3,98.8,CDU
03401,45.0,1268,485,38.2,127,136,23,49,89,39,11,11,474,26.8,28.7,4.9,10.3,18.8,8.2,2.3,2.3,97.7,118,139,32,48,67,38,4,39,481,24.5,28.9,6.7,10.0,13.9,7.9,0.8,8.1,99.2,CDU
03402,45.0,711,313,44.0,80,105,19,54,25,19,3,8,310,25.8,33.9,6.1,17.4,8.1,6.1,1.0,2.6,99.0,71,107,19,40,20,28,3,25,310,22.9,34.5,6.1,12.9,6.5,9.0,1.0,8.1,99.0,CDU
04100,47.0,1399,492,35.2,81,148,35,115,51,35,5,22,487,16.6,30.4,7.2,23.6,10.5,7.2,1.0,4.5,99.0,74,135,40,104,44,47,4,44,488,15.2,27.7,8.2,21.3,9.0,9.6,0.8,9.0,99.2,CDU
