AGS,Ort,1_Gewinner,1_Partei_1_Stimmen,1_Partei_1_Anteil,1_Partei_1_Name,1_Partei_2_Stimmen,1_Partei_2_Anteil,1_Partei_2_Name,1_Partei_3_Stimmen,1_Partei_3_Anteil,1_Partei_3_Name,1_Partei_4_Stimmen,1_Partei_4_Anteil,1_Partei_4_Name,1_Partei_5_Stimmen,1_Partei_5_Anteil,1_Partei_5_Name,1_Partei_6_Stimmen,1_Partei_6_Anteil,1_Partei_6_Name,1_Partei_andere_Stimmen,1_Partei_andere_Anteil,1_Partei_andere_Name,1_ungültige Stimmen,1_gültige Stimmen,2_Gewinner,2_Partei_1_Stimmen,2_Partei_1_Anteil,2_Partei_1_Name,2_Partei_2_Stimmen,2_Partei_2_Anteil,2_Partei_2_Name,2_Partei_3_Stimmen,2_Partei_3_Anteil,2_Partei_3_Name,2_Partei_4_Stimmen,2_Partei_4_Anteil,2_Partei_4_Name,2_Partei_5_Stimmen,2_Partei_5_Anteil,2_Partei_5_Name,2_Partei_6_Stimmen,2_Partei_6_Anteil,2_Partei_6_Name,2_Partei_andere_Stimmen,2_Partei_andere_Anteil,2_Partei_andere_Name,2_ungültige Stimmen,2_gültige Stimmen,WKNr,Stimmen Wahlberechtigte,Stimmen Wähler,Anteil Wahlberechtigte,Anteil Wähler
14511000,"Chemnitz, Stadt",SPD,32816,25.1,SPD,32815,25.1,AfD,16342,12.5,LINKE,16339,12.5,CDU,8571,6.6,FDP,5547,4.2,GRÜNE,18263,14.0,andere Parteien,1299,130693,AfD,32715,25.0,AfD,32674,25.0,SPD,16381,12.5,LINKE,16357,12.5,CDU,10936,8.4,FDP,6107,4.7,GRÜNE,15536,11.9,andere Parteien,1286,130706,162,189120,131992,100.0,69.8
14521010,Amtsberg,SPD,526,24.9,SPD,522,24.7,AfD,271,12.8,CDU,268,12.7,LINKE,184,8.7,FDP,83,3.9,GRÜNE,262,12.4,andere Parteien,15,2116,SPD,530,25.2,SPD,526,25.0,AfD,266,12.6,LINKE,259,12.3,CDU,188,8.9,FDP,67,3.2,GRÜNE,269,12.8,andere Parteien,26,2105,164,3009,2131,100.0,70.8
14521020,"Annaberg-Buchholz, Stadt",AfD,3083,25.2,AfD,3046,24.9,SPD,1533,12.5,CDU,1526,12.5,LINKE,783,6.4,FDP,395,3.2,GRÜNE,1877,15.3,andere Parteien,122,12243,AfD,3067,25.0,AfD,3052,24.9,SPD,1533,12.5,CDU,1523,12.4,LINKE,789,6.4,FDP,345,2.8,GRÜNE,1946,15.9,andere Parteien,110,12255,164,16157,12365,100.0,76.5
14521035,"Aue-Bad Schlema, Stadt",SPD,3018,25.0,SPD,3016,25.0,AfD,1516,12.6,CDU,1514,12.5,LINKE,666,5.5,FDP,302,2.5,GRÜNE,2046,16.9,andere Parteien,119,12078,AfD,3032,25.1,AfD,2989,24.8,SPD,1512,12.5,CDU,1508,12.5,LINKE,759,6.3,FDP,240,2.0,GRÜNE,2023,16.8,andere Parteien,134,12063,164,16740,12197,100.0,72.9
14521040,Auerbach,AfD,438,25.5,AfD,431,25.1,SPD,219,12.7,CDU,219,12.7,LINKE,113,6.6,FDP,44,2.6,GRÜNE,255,14.8,andere Parteien,22,1719,SPD,445,25.8,SPD,424,24.6,AfD,220,12.7,CDU,216,12.5,LINKE,110,6.4,FDP,26,1.5,GRÜNE,286,16.6,andere Parteien,14,1727,163,2050,1741,100.0,84.9
14521060,Bärenstein,SPD,243,25.8,SPD,241,25.6,AfD,119,12.6,CDU,119,12.6,LINKE,59,6.3,FDP,17,1.8,GRÜNE,144,15.3,andere Parteien,8,942,AfD,237,25.2,AfD,237,25.2,SPD,122,13.0,LINKE,121,12.9,CDU,58,6.2,FDP,17,1.8,GRÜNE,147,15.7,andere Parteien,11,939,164,1881,950,100.0,50.5
14521080,Bockau,AfD,389,25.7,AfD,374,24.7,SPD,188,12.4,LINKE,184,12.1,CDU,86,5.7,FDP,28,1.8,GRÜNE,266,17.6,andere Parteien,13,1515,AfD,381,25.1,AfD,376,24.8,SPD,190,12.5,CDU,190,12.5,LINKE,72,4.8,FDP,22,1.5,GRÜNE,284,18.7,andere Parteien,13,1515,164,1862,1528,100.0,82.1
14521090,Börnichen/Erzgeb.,SPD,143,24.5,SPD,140,24.0,AfD,74,12.7,LINKE,73,12.5,CDU,55,9.4,FDP,12,2.1,GRÜNE,87,14.9,andere Parteien,7,584,AfD,147,25.1,AfD,147,25.1,SPD,75,12.8,CDU,74,12.6,LINKE,48,8.2,FDP,14,2.4,GRÜNE,81,13.8,andere Parteien,5,586,164,787,591,100.0,75.1
14521110,Breitenbrunn/Erzgeb.,AfD,841,25.2,AfD,825,24.7,SPD,423,12.7,CDU,419,12.5,LINKE,188,5.6,FDP,87,2.6,GRÜNE,557,16.7,andere Parteien,38,3340,SPD,837,25.0,SPD,834,24.9,AfD,423,12.6,CDU,419,12.5,LINKE,235,7.0,FDP,69,2.1,GRÜNE,528,15.8,andere Parteien,33,3345,164,4301,3378,100.0,78.5
14521120,Burkhardtsdorf,SPD,900,25.2,SPD,879,24.6,AfD,445,12.5,CDU,445,12.5,LINKE,223,6.2,FDP,115,3.2,GRÜNE,562,15.7,andere Parteien,38,3569,SPD,910,25.4,SPD,900,25.2,AfD,447,12.5,LINKE,440,12.3,CDU,274,7.7,FDP,106,3.0,GRÜNE,499,14.0,andere Parteien,31,3576,163,5052,3607,100.0,71.4
14521130,Crottendorf,AfD,601,24.9,AfD,596,24.7,SPD,302,12.5,CDU,298,12.3,LINKE,176,7.3,FDP,79,3.3,GRÜNE,365,15.1,andere Parteien,19,2417,AfD,616,25.5,AfD,604,25.1,SPD,301,12.5,CDU,301,12.5,LINKE,200,8.3,FDP,62,2.6,GRÜNE,327,13.6,andere Parteien,25,2411,164,3302,2436,100.0,73.8
14521140,Deutschneudorf,AfD,149,25.6,AfD,142,24.4,SPD,76,13.0,LINKE,74,12.7,CDU,70,12.0,FDP,14,2.4,GRÜNE,58,9.9,andere Parteien,6,583,AfD,150,25.7,AfD,141,24.2,SPD,72,12.3,LINKE,71,12.2,CDU,71,12.2,FDP,9,1.5,GRÜNE,69,11.8,andere Parteien,6,583,164,798,589,100.0,73.8
14521150,Drebach,AfD,692,24.9,AfD,687,24.7,SPD,348,12.5,LINKE,345,12.4,CDU,239,8.6,FDP,67,2.4,GRÜNE,403,14.5,andere Parteien,27,2781,SPD,702,25.2,SPD,692,24.9,AfD,355,12.8,LINKE,348,12.5,CDU,225,8.1,FDP,53,1.9,GRÜNE,406,14.6,andere Parteien,27,2781,164,4138,2808,100.0,67.9
