AGS,Ort,KreisId,KreisName,Gewinner_Partei,Gewinner_Name,Gewinner_c,Partei_1,Partei_1_k,Partei_1_c,Partei_1_a,Partei_2,Partei_2_k,Partei_2_c,Partei_2_a,Partei_3,Partei_3_k,Partei_3_c,Partei_3_a,fließtext_rest
14730010,Arzberg,151,Nordsachsen,AfD,"Bochmann, René",#009ee0,AfD,"Bochmann, René",#009ee0,25.0,SPD,"Kleinke, Rüdiger",#e3000f,24.2,Die PARTEI,"Gutjahr, Karsten",#b5152b,16.8," +++ Gutjahr, Karsten (Die PARTEI), 16.8% +++ Rubach, Philipp (DIE LINKE), 12.6% +++ Schenderlein, Dr. Christiane (CDU), 12.4% +++ Richter, Martin Max (FDP), 6.9% +++ Korn, Denis (GRÜNE), 2.0% +++ Daiser, Chris (FREIE WÄHLER), 0.1% +++ Strenger, Uta (ÖDP), 0.0% +++ Klinger, Doreen (dieBasis), 0.0% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730020,"Bad Düben, Stadt",151,Nordsachsen,AfD,"Bochmann, René",#009ee0,AfD,"Bochmann, René",#009ee0,25.2,SPD,"Kleinke, Rüdiger",#e3000f,25.0,CDU,"Schenderlein, Dr. Christiane",#32302e,12.5," +++ Schenderlein, Dr. Christiane (CDU), 12.5% +++ Rubach, Philipp (DIE LINKE), 12.4% +++ Gutjahr, Karsten (Die PARTEI), 10.4% +++ Richter, Martin Max (FDP), 5.8% +++ Daiser, Chris (FREIE WÄHLER), 4.4% +++ Korn, Denis (GRÜNE), 2.7% +++ Strenger, Uta (ÖDP), 1.5% +++ Klinger, Doreen (dieBasis), 0.0% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730030,Beilrode,151,Nordsachsen,AfD,"Bochmann, René",#009ee0,AfD,"Bochmann, René",#009ee0,25.3,SPD,"Kleinke, Rüdiger",#e3000f,25.2,CDU,"Schenderlein, Dr. Christiane",#32302e,12.7," +++ Schenderlein, Dr. Christiane (CDU), 12.7% +++ Rubach, Philipp (DIE LINKE), 12.6% +++ Gutjahr, Karsten (Die PARTEI), 10.8% +++ Richter, Martin Max (FDP), 6.7% +++ Daiser, Chris (FREIE WÄHLER), 4.3% +++ Korn, Denis (GRÜNE), 1.3% +++ Strenger, Uta (ÖDP), 1.1% +++ Klinger, Doreen (dieBasis), 0.0% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730045,"Belgern-Schildau, Stadt",151,Nordsachsen,SPD,"Kleinke, Rüdiger",#e3000f,SPD,"Kleinke, Rüdiger",#e3000f,25.1,AfD,"Bochmann, René",#009ee0,25.0,Die PARTEI,"Gutjahr, Karsten",#b5152b,14.2," +++ Gutjahr, Karsten (Die PARTEI), 14.2% +++ Schenderlein, Dr. Christiane (CDU), 12.7% +++ Rubach, Philipp (DIE LINKE), 12.6% +++ Richter, Martin Max (FDP), 6.4% +++ Korn, Denis (GRÜNE), 2.2% +++ Daiser, Chris (FREIE WÄHLER), 1.7% +++ Strenger, Uta (ÖDP), 0.0% +++ Klinger, Doreen (dieBasis), 0.0% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730050,Cavertitz,151,Nordsachsen,SPD,"Kleinke, Rüdiger",#e3000f,SPD,"Kleinke, Rüdiger",#e3000f,24.7,AfD,"Bochmann, René",#009ee0,24.5,Die PARTEI,"Gutjahr, Karsten",#b5152b,15.1," +++ Gutjahr, Karsten (Die PARTEI), 15.1% +++ Schenderlein, Dr. Christiane (CDU), 12.5% +++ Rubach, Philipp (DIE LINKE), 12.5% +++ Richter, Martin Max (FDP), 5.4% +++ Daiser, Chris (FREIE WÄHLER), 3.8% +++ Korn, Denis (GRÜNE), 1.6% +++ Strenger, Uta (ÖDP), 0.0% +++ Klinger, Doreen (dieBasis), 0.0% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730060,"Dahlen, Stadt",151,Nordsachsen,SPD,"Kleinke, Rüdiger",#e3000f,SPD,"Kleinke, Rüdiger",#e3000f,25.0,AfD,"Bochmann, René",#009ee0,24.7,LINKE,"Rubach, Philipp",#b5152b,12.8," +++ Rubach, Philipp (DIE LINKE), 12.8% +++ Schenderlein, Dr. Christiane (CDU), 12.3% +++ Gutjahr, Karsten (Die PARTEI), 12.0% +++ Richter, Martin Max (FDP), 6.1% +++ Daiser, Chris (FREIE WÄHLER), 4.4% +++ Korn, Denis (GRÜNE), 2.7% +++ Strenger, Uta (ÖDP), 0.0% +++ Klinger, Doreen (dieBasis), 0.0% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730070,"Delitzsch, Stadt",151,Nordsachsen,AfD,"Bochmann, René",#009ee0,AfD,"Bochmann, René",#009ee0,24.8,SPD,"Kleinke, Rüdiger",#e3000f,24.6,CDU,"Schenderlein, Dr. Christiane",#32302e,12.5," +++ Schenderlein, Dr. Christiane (CDU), 12.5% +++ Rubach, Philipp (DIE LINKE), 12.4% +++ Gutjahr, Karsten (Die PARTEI), 8.5% +++ Richter, Martin Max (FDP), 5.7% +++ Daiser, Chris (FREIE WÄHLER), 4.9% +++ Korn, Denis (GRÜNE), 3.1% +++ Strenger, Uta (ÖDP), 2.5% +++ Klinger, Doreen (dieBasis), 0.7% +++ Asmus, Sven (ASMUSfddB), 0.4% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730080,Doberschütz,151,Nordsachsen,SPD,"Kleinke, Rüdiger",#e3000f,SPD,"Kleinke, Rüdiger",#e3000f,25.1,AfD,"Bochmann, René",#009ee0,24.9,Die PARTEI,"Gutjahr, Karsten",#b5152b,13.6," +++ Gutjahr, Karsten (Die PARTEI), 13.6% +++ Schenderlein, Dr. Christiane (CDU), 12.7% +++ Rubach, Philipp (DIE LINKE), 12.5% +++ Richter, Martin Max (FDP), 7.4% +++ Korn, Denis (GRÜNE), 2.0% +++ Daiser, Chris (FREIE WÄHLER), 1.5% +++ Strenger, Uta (ÖDP), 0.2% +++ Klinger, Doreen (dieBasis), 0.0% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730090,"Dommitzsch, Stadt",151,Nordsachsen,AfD,"Bochmann, René",#009ee0,AfD,"Bochmann, René",#009ee0,25.3,SPD,"Kleinke, Rüdiger",#e3000f,24.4,Die PARTEI,"Gutjahr, Karsten",#b5152b,16.4," +++ Gutjahr, Karsten (Die PARTEI), 16.4% +++ Schenderlein, Dr. Christiane (CDU), 12.6% +++ Rubach, Philipp (DIE LINKE), 12.6% +++ Richter, Martin Max (FDP), 6.9% +++ Korn, Denis (GRÜNE), 1.8% +++ Daiser, Chris (FREIE WÄHLER), 0.0% +++ Strenger, Uta (ÖDP), 0.0% +++ Klinger, Doreen (dieBasis), 0.0% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
14730100,Dreiheide,151,Nordsachsen,SPD,"Kleinke, Rüdiger",#e3000f,SPD,"Kleinke, Rüdiger",#e3000f,25.3,AfD,"Bochmann, René",#009ee0,24.7,Die PARTEI,"Gutjahr, Karsten",#b5152b,12.8," +++ Gutjahr, Karsten (Die PARTEI), 12.8% +++ Rubach, Philipp (DIE LINKE), 12.5% +++ Schenderlein, Dr. Christiane (CDU), 12.4% +++ Richter, Martin Max (FDP), 9.5% +++ Korn, Denis (GRÜNE), 2.5% +++ Daiser, Chris (FREIE WÄHLER), 0.2% +++ Strenger, Uta (ÖDP), 0.0% +++ Klinger, Doreen (dieBasis), 0.0% +++ Asmus, Sven (ASMUSfddB), 0.0% +++ Oschkinat, Sandro (AufrechterDemokrat), 0.0%"
