AGS,Ort,2_Stimmen AfD,2_Stimmen CDU,2_Stimmen Die Linke,2_Stimmen FDP,2_Stimmen Grüne,2_Stimmen SPD,2_Stimmen Ungültige Stimmen,2_Stimmen andere Parteien,2_Stimmen gültige Stimmen,2_Anteil AfD,2_Anteil CDU,2_Anteil Die Linke,2_Anteil FDP,2_Anteil Grüne,2_Anteil SPD,2_Anteil Ungültige Stimmen,2_Anteil andere Parteien,2_Anteil gültige Stimmen,WKNr,Stimmen Wahlberechtigte,Stimmen Wähler,Anteil Wahlberechtigte,Anteil Wähler,Wahl,WK-Nr,WK-Name,Ebene,Ortname,Briefwahl_Sonderfall,Wahlberechtigte,Wähler,ungültige_1,gültige_1,CDU_1,DIE LINKE_1,SPD_1,AfD_1,GRÜNE_1,NPD_1,FDP_1,PIRATEN_1,FREIE WÄHLER_1,BüSo_1,MLPD_1,ÖDP_1,Die PARTEI_1,Bürgerkandidat_1,Der Auserwählte_1,Heimat Region Zwickau_1,Held_1,Hoyer_1,Internationalistisch. Bündnis_1,RINK_1,SGP_1,Wir sind LEIPZIGER_1,ungültige_2,gültige_2,CDU_2,DIE LINKE_2,SPD_2,AfD_2,GRÜNE_2,NPD_2,FDP_2,PIRATEN_2,FREIE WÄHLER_2,BüSo_2,MLPD_2,BGE_2,DiB_2,ÖDP_2,Die PARTEI_2,Tierschutzpartei_2,V-Partei³_2,2_Gewinner
14511000,"Chemnitz, Stadt",32715,16357,16381,10936,6107,32674,1286,15536,130706,25.0,12.5,12.5,8.4,4.7,25.0,1.0,11.9,99.0,162,189120,131992,100.0,69.8,BW17,162,Chemnitz,KS,"Chemnitz, Stadt",,195929,147218,1665,145553,38653,28213,22413,34958,6157,x,9535,1403,x,789,x,x,3432,x,x,x,x,x,x,x,x,x,1347,145871,36270,28010,17373,35456,6818,1149,12184,874,1068,255,156,478,407,308,2746,2042,277,AfD
14521010,Amtsberg,526,259,266,188,67,530,26,269,2105,25.0,12.3,12.6,8.9,3.2,25.2,1.2,12.8,98.8,164,3009,2131,100.0,70.8,BW17,164,Erzgebirgskreis I,GE,Amtsberg,,3091,2554,42,2512,926,354,252,651,100,x,215,x,x,x,x,x,x,x,x,x,14,x,x,x,x,x,40,2514,820,319,254,657,82,23,223,15,31,0,4,5,10,13,21,26,11,SPD
14521020,"Annaberg-Buchholz, Stadt",3067,1533,1523,789,345,3052,110,1946,12255,25.0,12.5,12.4,6.4,2.8,24.9,0.9,15.9,99.1,164,16157,12365,100.0,76.5,BW17,164,Erzgebirgskreis I,GE,"Annaberg-Buchholz, Stadt",,16911,11998,239,11759,3569,2162,1136,3643,382,x,753,x,x,x,x,x,x,x,x,x,114,x,x,x,x,x,195,11803,3256,1915,1123,3452,330,269,765,51,205,14,7,41,17,18,136,186,18,AfD
14521040,Auerbach,424,220,216,110,26,445,14,286,1727,24.6,12.7,12.5,6.4,1.5,25.8,0.8,16.6,99.2,163,2050,1741,100.0,84.9,BW17,163,Chemnitzer Umland - Erzgebirgskreis II,GE,Auerbach,,2153,1668,22,1646,583,249,187,483,40,x,104,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,26,1642,498,226,182,483,25,37,104,4,25,2,1,5,5,4,14,26,1,SPD
14521060,Bärenstein,237,121,122,58,17,237,11,147,939,25.2,12.9,13.0,6.2,1.8,25.2,1.2,15.7,98.8,164,1881,950,100.0,50.5,BW17,164,Erzgebirgskreis I,GE,Bärenstein,J,1958,1669,30,1639,595,242,156,493,33,x,102,x,x,x,x,x,x,x,x,x,18,x,x,x,x,x,25,1644,534,220,168,475,33,25,102,4,28,0,0,6,2,3,13,27,4,AfD
14521080,Bockau,381,190,190,72,22,376,13,284,1515,25.1,12.5,12.5,4.8,1.5,24.8,0.9,18.7,99.1,164,1862,1528,100.0,82.1,BW17,164,Erzgebirgskreis I,GE,Bockau,,1949,1310,19,1291,516,172,72,432,22,x,70,x,x,x,x,x,x,x,x,x,7,x,x,x,x,x,13,1297,465,154,95,435,18,26,59,2,17,1,0,2,1,0,8,9,5,AfD
14521090,Börnichen/Erzgeb.,147,75,74,48,14,147,5,81,586,25.1,12.8,12.6,8.2,2.4,25.1,0.8,13.8,99.2,164,787,591,100.0,75.1,BW17,164,Erzgebirgskreis I,GE,Börnichen/Erzgeb.,,824,542,10,532,173,89,43,164,9,x,46,x,x,x,x,x,x,x,x,x,8,x,x,x,x,x,12,530,167,64,54,157,12,5,41,1,12,0,0,3,3,1,2,8,0,AfD
14521110,Breitenbrunn/Erzgeb.,834,423,419,235,69,837,33,528,3345,24.9,12.6,12.5,7.0,2.1,25.0,1.0,15.8,99.0,164,4301,3378,100.0,78.5,BW17,164,Erzgebirgskreis I,GE,Breitenbrunn/Erzgeb.,,4483,3342,58,3284,1195,442,294,1042,85,x,188,x,x,x,x,x,x,x,x,x,38,x,x,x,x,x,55,3287,1025,425,299,1015,68,47,236,9,52,2,3,11,5,13,25,47,5,SPD
14521120,Burkhardtsdorf,900,440,447,274,106,910,31,499,3576,25.2,12.3,12.5,7.7,3.0,25.4,0.9,14.0,99.1,163,5052,3607,100.0,71.4,BW17,163,Chemnitzer Umland - Erzgebirgskreis II,GE,Burkhardtsdorf,,5109,3987,74,3913,1457,560,362,1167,124,x,243,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,59,3928,1256,526,363,1156,116,43,296,13,41,1,1,5,1,10,44,52,4,SPD
14521130,Crottendorf,616,301,301,200,62,604,25,327,2411,25.5,12.5,12.5,8.3,2.6,25.1,1.0,13.6,99.0,164,3302,2436,100.0,73.8,BW17,164,Erzgebirgskreis I,GE,Crottendorf,,3419,2750,63,2687,1057,360,203,760,91,x,197,x,x,x,x,x,x,x,x,x,19,x,x,x,x,x,55,2695,950,358,204,714,70,30,227,11,47,0,1,10,3,8,23,32,7,AfD
